you,108
fuck,76
the,26
FUCK,20
fat,20
Fuck,19
YOU,18
pig,13
like,12
me,12
"you,",10
your,10
that,10
You,9
bitch,8
have,7
this,7
shit,6
fucking,6
@realDonaldTrump,6
ass,6
time,5
just,5
fun,5
about,4
going,4
now,4
FAT,4
out,3
FUCKING,3
deep,3
up,3
with,3
gonna,3
had,3
stupid,3
stop,3
you!,3
even,3
say,3
talking,3
salsa,3
our,3
before,3
through,3
HIM,3
YOUR,3
pig.,3
from,3
via,3
told,3
PLAY,2
again,2
called,2
I'll,2
he,2
lol,2
her,2
"david""",2
into,2
wanna,2
Let,2
back,2
some,2
Pig,2
@nytimes,2
Fat,2
"""fuck",2
THAT,2
If,2
can't,2
without,2
off,2
@YouTube,2
@Rosie,2
make,2
oink,2
PIG!,2
need,2
almost,2
cunt,2
You've,2
been,2
bitch!,2
come,2
@MMFlint,2
asked,2
whole,2
That,2
dumb,2
y'all,2
she,2
THE,2
do,2
trying,2
why,2
The,2
who,2
lie,2
bed,2
see,2
little,2
WHITE,2
one,2
shut,2
really,2
Fucking,2
good,2
he's,2
don't,2
YOU.,2
man,2
guys,2
didn't,2
give,2
pig!,2
SO,2
baby,2
bhabhi,2
yo,2
more,2
would,2
It's,2
heart,2
NOT,2
ever,2
WHAT,2
Remy,2
Go,2
all,2

